<oov> 1.0	<oov>
JEPANG 1.0	J E P A NG
JEREMY 1.0	J EE R EE M I
JERMAIN 1.0	J E R M A I N
JERMAN 1.0	J EE R M A N
JET 1.0	J EE T
JIAXUAN 1.0	J I A K S U A N
JIHAD 1.0	J I H A D
JIKA 1.0	J I K A
JIWANYA 1.0	J I W A NY A
JK 1.0	J EE K A
JOEY 1.0	J O EE Y
JOHN 1.0	J O N
JOINT 1.0	J O I N T
JOKO 1.0	J O K O
JUAN 1.0	J U A N
JUANITO 1.0	J U A N I T O
JUDY 1.0	J U D I
JUGA 1.0	J U G A
JUGSOR 1.0	J U G S O R
JUMAT 1.0	J U M A T
JUMLAH 1.0	J U M L A H
JUMPA 1.0	J U M P A
JUMRAH 1.0	J U M R A H
JUNICHIRO 1.0	J U N I C I R O
JUORO 1.0	J U O R O
JURNAL 1.0	J U R N A L
JURUSAN 1.0	J U R U S A N
JUSTRU 1.0	J U S T R U
JUTA 1.0	J U T A
JUTAAN 1.0	J U T A A N
KABAR 1.0	K A B A R
KABINET 1.0	K A B I N EE T
KAFELNIKOV 1.0	K A F EE L N I K O V
KAKI 1.0	K A K I
KALANGAN 1.0	K A L A NG A N
KALAU 1.0	K A L AU
KALI 1.0	K A L I
KALIAN 1.0	K A L I A N
KAMBOJA 1.0	K A M B O J A
KAMI 1.0	K A M I
KAMIL 1.0	K A M I L
KAMPUNG 1.0	K A M P U NG
KAMPUS 1.0	K A M P U S
KAMTIBMAS 1.0	K A M T I B M A S
KAMU 1.0	K A M U
KAMUS 1.0	K A M U S
KAN 1.0	K A N
KANADA 1.0	K A N A D A
KANAN 1.0	K A N A N
KANTOR 1.0	K A N T O R
KAPAL 1.0	K A P A L
KAPOLRES 1.0	K A P O L R EE S
KAPOLWIL 1.0	K A P O L W I L
KAPUSPENKUM 1.0	K A P U S P EE N K U M
KARANG 1.0	K A R A NG
KARANGAN 1.0	K A R A NG A N
KARENA 1.0	K A R E N A
KARL 1.0	K A R L
KARO 1.0	K A R O
KARTU 1.0	K A R T U
KARYA 1.0	K A R Y A
KARYAWAN 1.0	K A R Y A W A N
KASAROH 1.0	K A S A R O H
KASUS 1.0	K A S U S
KATA 1.0	K A T A
KATANYA 1.0	K A T A NY A
KATHMANDU 1.0	K A T M A N D U
KAUFMAN 1.0	K A U F M A N
KAWASAN 1.0	K A W A S A N
KAYHATU 1.0	K A Y H A T U
KAYU 1.0	K A Y U
KBRI 1.0	K A B EE EE R I
KE 1.0	K A EE
KEADAAN 1.0	K E A D A A N
KEADILAN 1.0	K E A D I L A N
KEAJAIBAN 1.0	K E A J A I B A N
KEAMANAN 1.0	K E A M A N A N
KEBETULAN 1.0	K E B E T U L A N
KEBIJAKAN 1.0	K E B I J A K A N
KEBOHONGAN 1.0	K E B O H O NG A N
KECAMATAN 1.0	K E C A M A T A N
KECIL 1.0	K E C I L
KEDAMAIAN 1.0	K E D A M A I A N
KEDAPATAN 1.0	K E D A P A T A N
KEDATANGAN 1.0	K E D A T A NG A N
KEDUA 1.0	K E D U A
KEEMPAT 1.0	K E E M P A T
KEENGGANAN 1.0	K E E NG G A N A N
KEHADIRAN 1.0	K E H A D I R A N
KEHANCURAN 1.0	K E H A N C U R A N
KEHORMATAN 1.0	K E H O R M A T A N
KEHUTANAN 1.0	K E H U T A N A N
KEINGINAN 1.0	K E I NG I N A N
KEJAHATAN 1.0	K E J A H A T A N
KEJAKGUNG 1.0	K E J A K G U NG
KEKACAUAN 1.0	K E K A C A U A N
KEKALAHAN 1.0	K E K A L A H A N
KEKUATAN 1.0	K E K U A T A N
KELAS 1.0	K E L A S
KELOMPOK 1.0	K E L O M P O K
KELUAR 1.0	K E L U A R
KELUARGA 1.0	K E L U A R G A
KELURAHAN 1.0	K E L U R A H A N
KEMAJUAN 1.0	K E M A J U A N
KEMAJUANNYA 1.0	K E M A J U A N NY A
KEMARIN 1.0	K E M A R I N
KEMBALI 1.0	K E M B A L I
KEMBANG 1.0	K E M B A NG
KEMENANGAN 1.0	K E M E N A NG A N
KEMUDIAN 1.0	K E M U D I A N
KEMUNGKINAN 1.0	K E M U NG K I N A N
KENANGAN 1.0	K E N A NG A N
KENAPA 1.0	K E N A P A
KENDALA 1.0	K E N D A L A
KENDARAAN 1.0	K E N D A R A A N
KEPADA 1.0	K E P A D A
KEPALA 1.0	K E P A L A
KEPERLUAN 1.0	K E P E R L U A N
KEPING 1.0	K E P I NG
KEPOLISIAN 1.0	K E P O L I S I A N
KEPUTUSAN 1.0	K E P U T U S A N
KEPUTUSANNYA 1.0	K E P U T U S A N NY A
KERAGUAN 1.0	K E R A G U A N
KERAJAAN 1.0	K E R A J A A N
KERETA 1.0	K E R EE T A
KERINDUAN 1.0	K E R I N D U A N
KERJASAMA 1.0	K E R J A S A M A
KESALAHAN 1.0	K E S A L A H A N
KESALAHPAHAMAN 1.0	K E S A L A H P A H A M A N
KESATRIA 1.0	K E S A T R I A
KESATUAN 1.0	K E S A T U A N
KESEHATAN 1.0	K E S EE H A T A N
KESEIMBANGAN 1.0	K E S E I M B A NG A N
KESEJAHTERAAN 1.0	K E S E J A H T E R A A N
KESEPAKATAN 1.0	K E S E P A K A T A N
KESIMPULAN 1.0	K E S I M P U L A N
KESUKAAN 1.0	K E S U K A A N
KETETAPAN 1.0	K E T E T A P A N
KETIDAKCERMATAN 1.0	K E T I D A K C E R M A T A N
KETIGA 1.0	K E T I G A
KETIK 1.0	K E T I K
KETIKA 1.0	K E T I K A
KETUA 1.0	K E T U A
KEUANGAN 1.0	K E U A NG A N
KEWENANGAN 1.0	K E W E N A NG A N
KEYAKINANNYA 1.0	K E Y A K I N A N NY A
KEYBOARD 1.0	K EE Y B O A R D
KEYTIMU 1.0	K EE Y T I M U
KFC 1.0	K A EE F C EE
KH 1.0	K A H A
KHAIRUL 1.0	KH A I R U L
KHAQZAR 1.0	KH A K Z A R
KHAWATIR 1.0	KH A W A T I R
KHOIRUL 1.0	KH O I R U L
KHOTBAH 1.0	KH O T B A H
KHUSUS 1.0	KH U S U S
KINERJA 1.0	K I N E R J A
KINI 1.0	K I N I
KITA 1.0	K I T A
KITTY 1.0	K I T I
KKB 1.0	K A K A B EE
KLASEMEN 1.0	K L A S E M EE N
KLATEN 1.0	K L A T EE N
KLIENNYA 1.0	K L I EE N NY A
KLINIK 1.0	K L I N I K
KLIPVIDEO 1.0	K L I P V I D I O
KOIZUMI 1.0	K O I Z U M I
KOLABORASI 1.0	K O L A B O R A S I
KOLUSI 1.0	K O L U S I
KOMANDO 1.0	K O M A N D O
KOMISI 1.0	K O M I S I
KOMITE 1.0	K O M I T E
KOMITMEN 1.0	K O M I T M E N
KOMJEN 1.0	K O M J EE N
KOMODITAS 1.0	K O M O D I T A S
KOMPAS 1.0	K O M P A S
KOMPONIS 1.0	K O M P O N I S
KOMPYANG 1.0	K O M P Y A NG
KONDISI 1.0	K O N D I S I
KONFERENSI 1.0	K O N F E R EE N S I
KONFLIK 1.0	K O N F L I K
KONFRONTATIF 1.0	K O N F R O N T A T I F
KONGRES 1.0	K O NG R EE S
KONSTITUSI 1.0	K O N S T I T U S I
KONSULER 1.0	K O N S U L EE R
KONVOI 1.0	K O N V OI
KOOPERATIF 1.0	K O O P E R A T I F
KOORDINASI 1.0	K O O R D I N A S I
KOPASSUS 1.0	K O P A S U S
KOPERASI 1.0	K O P E R A S I
KOPI 1.0	K O P I
KORAN 1.0	K O R A N
KORBAN 1.0	K O R B A N
KORPS 1.0	K O R P S
KORUPSI 1.0	K O R U P S I
KOSONG 1.0	K O S O NG
KOTA 1.0	K O T A
KOTAWARINGIN 1.0	K O T A W A R I NG I N
KREMASI 1.0	K R EE M A S I
KRITIK 1.0	K R I T I K
KROASIA 1.0	K R O A S I A
KUASA 1.0	K U A S A
KUAT 1.0	K U A T
KUATRIANUS 1.0	K U A T R I A N U S
KUBU 1.0	K U B U
KUDA 1.0	K U D A
KUMAN 1.0	K U M A N
KUMAU 1.0	K U M A U
KUNING 1.0	K U N I NG
KUNJUNGI 1.0	K U N J U NG I
KUPWARA 1.0	K U P W A R A
KURANG 1.0	K U R A NG
KUSDARTO 1.0	K U S D A R T O
KYAI 1.0	K I Y A I
KYRGYZSTAN 1.0	K I R G I S T A N
L 1.0	EE L
LABFOR 1.0	L A B F O R
LABORATORIUM 1.0	L A B O R A T O R I U M
LADEN 1.0	L A D E N
LAGI 1.0	L A G I
LAGU 1.0	L A G U
LAH 1.0	L A H
LAHAN 1.0	L A H A N
LAIN 1.0	L A I N
LAINNYA 1.0	L A I N NY A
LAJNAH 1.0	L A J N A H
LAKSMA 1.0	L A K S M A
LALU 1.0	L A L U
LAMA 1.0	L A M A
LAMGEUEU 1.0	L A M G EE U EE U
LANCAR 1.0	L A N C A R
LANGIT 1.0	L A NG I T
LANGKAH 1.0	L A NG K A H
LANGSUNG 1.0	L A NG S U NG
LANJUT 1.0	L A N J U T
LANSKAP 1.0	L A N S K A P
LANTAI 1.0	L A N T AI
LAPANGAN 1.0	L A P A NG A N
LAPORAN 1.0	L A P O R A N
LAPORKAN 1.0	L A P O R K A N
LARAS 1.0	L A R A S
LARI 1.0	L A R I
LASKAR 1.0	L A S K A R
LE 1.0	L EE
LEBIH 1.0	L E B I H
LEDAKAN 1.0	L E D A K A N
LEGENDARIS 1.0	L E G E N D A R I S
LEGISLATIF 1.0	L EE G I S L A T I F
LEMBAGA 1.0	L E M B A G A
LEO 1.0	L EE O
LETDA 1.0	L EE T D A
LETJEN 1.0	L EE T J EE N
LEUMI 1.0	L EE U M I
LEWAT 1.0	L EE W A T
LHOKNGA 1.0	L O K NG A
LIGA 1.0	L I G A
LIHAT 1.0	L I H A T
LIMA 1.0	L I M A
LINI 1.0	L I N I
LINKVPING 1.0	L I NG V P I NG
LINTAS 1.0	L I N T A S
LIPPO 1.0	L I P P O
LIPUTAN 1.0	L I P U T A N
LIRIKNYA 1.0	L I R I K NY A
LIVE 1.0	L I V E
LIZT 1.0	L I Z T
LOEBBY 1.0	L O EE B I
LOGTRANS 1.0	L O G T R A N S
LOGWELL 1.0	L O G W EE L
LOHAME 1.0	L O H A M EE
LOKAL 1.0	L O K A L
LOKASI 1.0	L O K A S I
LOKOMOTIF 1.0	L O K O M O T I F
LOKON 1.0	L O K O N
LOQMAN 1.0	L O K M A N
LORD 1.0	L O R D
LUAR 1.0	L U A R
LUBIS 1.0	L U B I S
LUDWIJK 1.0	L U D W I J K
LUKA 1.0	L U K A
LUPA 1.0	L U P A
LUTFHI 1.0	L U T F I
LUTHERAN 1.0	L U T E R A N
LUXOR 1.0	L U K S O R
MAAF 1.0	M A A F
MADE 1.0	M A D EE
MAHASISWA 1.0	M A H A S I S W A
MAHATMA 1.0	M A H A T M A
MAHENDRA 1.0	M A H EE N D R A
MAHFUD 1.0	M A H F U D
MAHJUDDIN 1.0	M A H J U D D I N
MAIN 1.0	M A I N
MAJALAH 1.0	M A J A L A H
MAJU 1.0	M A J U
MAJYEN 1.0	M AI J EE N
MAKA 1.0	M A K A
MAKAN 1.0	M A K A N
MAKASIH 1.0	M A K A S I H
MAKASSAR 1.0	M A K A S A R
MAKMUR 1.0	M A K M U R
MALAH 1.0	M A L A H
MALAM 1.0	M A L A M
MALANG 1.0	M A L A NG
MALAYSIA 1.0	M A L A I S I A
MALINO 1.0	M A L I N O
MALUKU 1.0	M A L U K U
MAMPU 1.0	M A M P U
MANAJEMEN 1.0	M A N A J E M EE N
MANAJER 1.0	M A N A J E R
MANAKALA 1.0	M A N A K A L A
MANCHESTER 1.0	M A N C EE S T E R
MANGGALA 1.0	M A NG G A L A
MANIFESTO 1.0	M A N I F EE S T O
MANIT 1.0	M A N I T
MANTAN 1.0	M A N T A N
MANUPUTTY 1.0	M A N U P U T T I
MANUSIA 1.0	M A N U S I A
MAQDIR 1.0	M A K D I R
MARCHUK 1.0	M A R C U K
MAREK 1.0	M A R E K
MARI 1.0	M A R I
MARIO 1.0	M A R I O
MARKET 1.0	M A R K E T
MARUF 1.0	M A R U F
MARX 1.0	M A R K S
MARZUKI 1.0	M A R Z U K I
MASALAH 1.0	M A S A L A H
MASHIL 1.0	M A S I L
MASIH 1.0	M A S I H
MASJID 1.0	M A S J I D
MASSA 1.0	M A S S A
MASUKAN 1.0	M A S U K A N
MASUKNYA 1.0	M A S U K NY A
MASYARAKAT 1.0	M A SY A R A K A T
MASYARAKATNYA 1.0	M A SY A R A K A T NY A
MATORI 1.0	M A T O R I
MAU 1.0	M A U
MAUBERE 1.0	M A U B EE R EE
MAWAS 1.0	M A W A S
MAXWELL 1.0	M A K S W EE L
MAYA 1.0	M A Y A
MAYJEN 1.0	M AI J EE N
MD 1.0	EE M D EE
MEDAN 1.0	M EE D A N
MEDIA 1.0	M EE D I A
MEDIATOR 1.0	M EE D I A T O R
MEDIS 1.0	M EE D I S
MEGA 1.0	M EE G A
MEGAWATI 1.0	M EE G A W A T I
MELAHIRKAN 1.0	M E L A H I R K A N
MELAKUKAN 1.0	M E L A K U K A N
MELALUI 1.0	M E L A L U I
MELANGKAH 1.0	M E L A NG K A H
MELANJUTKAN 1.0	M E L A N J U T K A N
MELANTUNKAN 1.0	M E L A N T U N K A N
MELARIKAN 1.0	M E L A R I K A N
MELATI 1.0	M E L A T I
MELAYANI 1.0	M E L A Y A N I
MELEMPAR 1.0	M E L EE M P A R
MELETAKAN 1.0	M E L E T A K A N
MELIHAT 1.0	M E L I H A T
MEMACETKAN 1.0	M E M A C E T K A N
MEMAHAMI 1.0	M E M A H A M I
MEMAINKAN 1.0	M E M A I N K A N
MEMAKLUMI 1.0	M E M A K L U M I
MEMANG 1.0	M EE M A NG
MEMANGGIL 1.0	M E M A NG G I L
MEMBACA 1.0	M E M B A C A
MEMBAHU 1.0	M E M B A H U
MEMBANTAH 1.0	M E M B A N T A H
MEMBAWA 1.0	M E M B A W A
MEMBEBASKAN 1.0	M E M B EE B A S K A N
MEMBELI 1.0	M E M B E L I
MEMBELOT 1.0	M E M B E L O T
MEMBENARKAN 1.0	M E M B E N A R K A N
MEMBENCI 1.0	M E M B E N C I
MEMBENTUK 1.0	M E M B E N T U K
MEMBENTUR 1.0	M E M B E N T U R
MEMBERI 1.0	M E M B E R I
MEMBERIKAN 1.0	M E M B E R I K A N
MEMBERITAKAN 1.0	M E M B E R I T A K A N
MEMBIARKAN 1.0	M E M B I A R K A N
MEMBUAT 1.0	M E M B U A T
MEMBUKA 1.0	M E M B U K A
MEMENTINGKAN 1.0	M E M E N T I NG K A N
MEMERIKSA 1.0	M E M E R I K S A
MEMERINTAHKAN 1.0	M E M E R I N T A H K A N
MEMERLUKAN 1.0	M E M E R L U K A N
MEMFASILITASI 1.0	M E M F A S I L I T A S I
MEMILIH 1.0	M E M I L I H
MEMILIKI 1.0	M E M I L I K I
MEMIMPIN 1.0	M E M I M P I N
MEMINTA 1.0	M E M I N T A
MEMISAHKAN 1.0	M E M I S A H K A N
MEMPELAJARI 1.0	M E M P E L A J A R I
MEMPEROMOSIKAN 1.0	M E M P E R O M O S I K A N
MEMPRAPERADILANKAN 1.0	M E M P R A P E R A D I L A N K A N
MEMPRESENTASIKAN 1.0	M E M P R EE S E N T A S I K A N
MEMPRIORITASKAN 1.0	M E M P R I O R I T A S K A N
MEMPUNYAI 1.0	M E M P U NY A I
MEMUAT 1.0	M E M U A T
MEMULAI 1.0	M E M U L AI
MEMUTUSKAN 1.0	M E M U T U S K A N
MEMVONIS 1.0	M E M V O N I S
MENAMBAH 1.0	M E N A M B A H
MENAMPILKAN 1.0	M E N A M P I L K A N
MENANDATANGANI 1.0	M E N A N D A T A NG A N I
MENANG 1.0	M E N A NG
MENANGKAP 1.0	M E N A NG K A P
MENANGKIS 1.0	M E N A NG K I S
MENANYAKAN 1.0	M E N A NY A K A N
MENARGETKAN 1.0	M E N A R G EE T K A N
MENCAPAI 1.0	M E N C A P AI
MENCARI 1.0	M E N C A R I
MENCARTER 1.0	M E N C A R T E R
MENCATAT 1.0	M E N C A T A T
MENCEMASKAN 1.0	M E N C E M A S K A N
MENCIDUK 1.0	M E N C I D U K
MENCIPTAKAN 1.0	M E N C I P T A K A N
MENDAFTARKAN 1.0	M E N D A F T A R K A N
MENDALAM 1.0	M E N D A L A M
MENDAMPINGI 1.0	M E N D A M P I NG I
MENDAPAT 1.0	M E N D A P A T
MENDATANG 1.0	M E N D A T A NG
MENDATAR 1.0	M E N D A T A R
MENDEGRADASIKAN 1.0	M E N D E G R A D A S I K A N
MENDENGAR 1.0	M E N D E NG A R
MENDIAMI 1.0	M E N D I A M I
MENDIDIK 1.0	M E N D I D I K
MENDIETA 1.0	M E N D E R I T A
MENEGASKAN 1.0	M E N E G A S K A N
MENELEPON 1.0	M E N EE L EE P O N
MENELPON 1.0	M E N EE L P O N
MENEMBAK 1.0	M E N EE M B A K
MENEMBAKKAN 1.0	M E N EE M B A K K A N
MENEMBUS 1.0	M E N E M B U S
MENEMPATKAN 1.0	M E N E M P A T K A N
MENEMUI 1.0	M E N E M U I
MENEMUKAN 1.0	M E N E M U K A N
MENENGAH 1.0	M E N E NG A H
MENENTANG 1.0	M E N E N T A NG
MENERIMA 1.0	M E N E R I M A
MENGACU 1.0	M E NG A C U
MENGADAKAN 1.0	M E NG A D A K A N
MENGADILI 1.0	M E NG A D I L I
MENGAIT 1.0	M E NG A I T
MENGAKU 1.0	M E NG A K U
MENGALAHKAN 1.0	M E NG A L A H K A N
MENGALAMI 1.0	M E NG A L A M I
MENGAMBIL 1.0	M E NG A M B I L
MENGAPA 1.0	M E NG A P A
MENGATAKAN 1.0	M E NG A T A K A N
MENGECEWAKAN 1.0	M E NG E C EE W A K A N
MENGELUARKAN 1.0	M E NG E L U A R K A N
MENGEMUKAKAN 1.0	M E NG E M U K A K A N
MENGENAI 1.0	M E NG E N A I
MENGENAL 1.0	M E NG E N A L
MENGERJAKAN 1.0	M E NG E R J A K A N
MENGERTI 1.0	M E NG E R T I
MENGETAHUI 1.0	M E NG E T A H U I
MENGGALANG 1.0	M E NG G A L A NG
MENGGELAR 1.0	M E NG G E L A R
MENGGUNAKAN 1.0	M E NG G U N A K A N
MENGHADAPI 1.0	M E NG H A D A P I
MENGHADIRI 1.0	M E NG H A D I R I
MENGHAYATI 1.0	M E NG H A Y A T I
MENGHIRUPNYA 1.0	M E NG H I R U P NY A
MENGHUKUM 1.0	M E NG H U K U M
MENGIKUTI 1.0	M E NG I K U T I
MENGINGATKAN 1.0	M E NG I NG A T K A N
MENGINGINKAN 1.0	M E NG I NG I N K A N
MENGINTENSIFKAN 1.0	M E NG I N T EE N S I F K A N
MENGONSUMSI 1.0	M E NG O N S U M S I
MENGOREKSI 1.0	M E NG O R EE K S I
MENGULURKAN 1.0	M E NG U L U R K A N
MENGUMUMKAN 1.0	M E NG U M U M K A N
MENGUNDURKAN 1.0	M E NG U N D U R K A N
MENGUNGGULI 1.0	M E NG U NG G U L I
MENILAI 1.0	M E N I L A I
MENINGGALKAN 1.0	M E N I NG G A L K A N
MENIT 1.0	M E N I T
MENJADI 1.0	M E N J A D I
MENJAGA 1.0	M E N J A G A
MENJELANG 1.0	M E N J E L A NG
MENJELASKAN 1.0	M E N J E L A S K A N
MENKEHHAM 1.0	M EE N K EE H H A M
MENKEU 1.0	M E N K EE U
MENKO 1.0	M EE N K O
MENKOP 1.0	M EE N K O P
MENLU 1.0	M EE N L U
MENOLAK 1.0	M E N O L A K
MENTAH 1.0	M E N T A H
MENTERI 1.0	M E N T E R I
MENUDING 1.0	M E N U D I NG
MENUJU 1.0	M E N U J U
MENUNTASKAN 1.0	M E N U N T A S K A N
MENURUN 1.0	M E N U R U N
MENURUT 1.0	M E N U R U T
MENYAJIKAN 1.0	M E NY A J I K A N
MENYAKSIKAN 1.0	M E NY A K S I K A N
MENYAMPAIKAN 1.0	M E NY A M P AI K A N
MENYANGKUT 1.0	M E NY A NG K U T
MENYANYIKAN 1.0	M E NY A NY I K A N
MENYATAKAN 1.0	M E NY A T A K A N
MENYAYANGKAN 1.0	M E NY A Y A NG K A N
MENYEBUTKAN 1.0	M E NY E B U T K A N
MENYELAMATKAN 1.0	M E NY E L A M A T K A N
MENYELIMUTI 1.0	M E NY E L I M U T I
MENYEMPATKAN 1.0	M E NY E M P A T K A N
MENYERAH 1.0	M E NY E R A H
MENYERAHKAN 1.0	M E NY E R A H K A N
MENYERANG 1.0	M E NY E R A NG
MENYIMPAN 1.0	M E NY I M P A N
MENYINGGUNG 1.0	M E NY I NG G U NG
MENYOSIALISASIKAN 1.0	M E NY O S I A L I S A S I K A N
MENYUKAI 1.0	M E NY U K A I
MENYUSUL 1.0	M E NY U S U L
MENYUSUN 1.0	M E NY U S U N
MERAH 1.0	M EE R A H
MERAIH 1.0	M E R A I H
MERDEKA 1.0	M E R D EE K A
MEREKA 1.0	M E R EE K A
MERIDIEN 1.0	M EE R I D I EE N
MERINDUKAN 1.0	M E R I N D U K A N
MERTOYUDAN 1.0	M E R T O Y U D A N
MERUPAKAN 1.0	M E R U P A K A N
MERUYA 1.0	M E R U Y A
MESIN 1.0	M E S I N
MESIR 1.0	M E S I R
METER 1.0	M EE T E R
METODE 1.0	M EE T O D E
METRO 1.0	M EE T R O
MEYAKINKAN 1.0	M E Y A K I N K A N
MIGZEN 1.0	M I G Z EE N
MILIK 1.0	M I L I K
MILISI 1.0	M I L I S I
MILITAN 1.0	M I L I T A N
MILOSEVIC 1.0	M I L O S EE V I C
MIMPI 1.0	M I M P I
MINGGU 1.0	M I NG G U
MINYAK 1.0	M I NY A K
MIRIP 1.0	M I R I P
MITIGASI 1.0	M I T I G A S I
MOBIL 1.0	M O B I L
MOHAMMAD 1.0	M O H A M M A D
MOLITISASI 1.0	M O L I T I S A S I
MONSANTO 1.0	M O N S A N T O
MOSTOVOI 1.0	M O S T O V OI
MPR 1.0	EE M P EE EE R
MTV 1.0	EE M T EE F EE
MU 1.0	EE M U
MUAK 1.0	M U A K
MUBAZIR 1.0	M U B A Z I R
MUENCHEN 1.0	M U EE N C E N
MUFZAR 1.0	M U F Z A R
MUHADJIR 1.0	M U H A D J I R
MUHAMMAD 1.0	M U H A M M A D
MUHAMMADIYAH 1.0	M U H A M M A D I Y A H
MUJAHIR 1.0	M U J A H I R
MUJFABA 1.0	M U J F A B A
MUKTAMAR 1.0	M U K T A M A R
MULJOHARDJO 1.0	M U L J O H A R J O
MULLAH 1.0	M U L A H
MULYO 1.0	M U L Y O
MUNCUL 1.0	M U N C U L
MUNGKIN 1.0	M U NG K I N
MURID 1.0	M U R I D
MUSEUM 1.0	M U S EE U M
MUSHARRAF 1.0	M U S A R R A F
MUSIBAH 1.0	M U S I B A H
MUSIC 1.0	M U S I C
MUSIK 1.0	M U S I K
MUSNI 1.0	M U S N I
MUSTAHIL 1.0	M U S T A H I L
MUTIARA 1.0	M U T I A R A
MUZADI 1.0	M U Z A D I
MUZDALIFAH 1.0	M U Z D A L I F A H
NABI 1.0	N A B I
NACL 1.0	EE N A C EE EE L
NAINGGOLAN 1.0	N A I NG G O L A N
NAMA 1.0	N A M A
NAMUN 1.0	N A M U N
NANCY 1.0	N A N C I
NANGGROE 1.0	N A NG G R O EE
NANQUAN 1.0	N A N K U A N
NANTI 1.0	N A N T I
NASIONAL 1.0	N A S I O N A L
NASKAH 1.0	N A S K A H
NASSER 1.0	N A S EE R
NASUTION 1.0	N A S U T I O N
NATO 1.0	N A T O
NAZRI 1.0	N A Z R I
NEBOJSA 1.0	N EE B O J S A
NEDVED 1.0	N EE D V EE D
NEGARA 1.0	N E G A R A
NEGATIF 1.0	N EE G A T I F
NEGERI 1.0	N E G E R I
NEGOSIASI 1.0	N EE G O S I A S I
NEKAT 1.0	N EE K A T
NEPOTISME 1.0	N EE P O T I S M E
NEWCASTLE 1.0	N EE W C A S T L EE
NEWMONT 1.0	N E W M O N T
NGAITKAN 1.0	NG A I T K A N
NGURAH 1.0	NG U R A H
NI 1.0	N I
NIAS 1.0	N I A S
NIETZCHE 1.0	N I EE T Z C EE
NIGERIA 1.0	N I G EE R I A
NINOY 1.0	N I N O Y
NISTELROOY 1.0	N I S T E L R O Y
NOL 1.0	N O L
NOMOR 1.0	N O M O R
NONTON 1.0	N O N T O N
NONTONNYA 1.0	N O N T O N NY A
NORBERTO 1.0	N O R B EE R T O
NOSTALGIA 1.0	N O S T A L G I A
NOVEMBER 1.0	N O V EE M B E R
NOYVACH 1.0	N O Y V A C
NTT 1.0	EE N T EE T EE
NU 1.0	EE N U
NUANSA 1.0	N U A N S A
NUR 1.0	N U R
NURANI 1.0	N U R A N I
NUSANTARA 1.0	N U S A N T A R A
NUWA 1.0	N U W A
OBJEK 1.0	O B J EE K
OBLIGOR 1.0	O B L I G O R
OBYEK 1.0	O B Y EE K
OKNUM 1.0	O K N U M
OKTAVIANO 1.0	O K T A V I A N O
OLE 1.0	O L EE
OLEH 1.0	O L EE H
OMZETNYA 1.0	O M Z EE T NY A
ONH 1.0	O EE N H A
ONLINE 1.0	O N L AI N
OPRESI 1.0	O P R EE S I
ORANG 1.0	O R A NG
ORGANISASI 1.0	O R G A N I S A S I
ORUZGAN 1.0	O R U Z G A N
OSAMA 1.0	O S A M A
OTOT 1.0	O T O T
OTTMAR 1.0	O T M A R
OXFORD 1.0	O K S F O R D
P 1.0	P EE
PABUGPEN 1.0	P A B U G P EE N
PACIFIC 1.0	P A C I F I C
PADA 1.0	P A D A
PADAHAL 1.0	P A D A H A L
PADANG 1.0	P A D A NG
PADANGBAI 1.0	P A D A NG B A I
PAGI 1.0	P A G I
PAHLAWAN 1.0	P A H L A W A N
PAJAJARAN 1.0	P A J A J A R A N
PAJAK 1.0	P A J A K
PAK 1.0	P A K
PAKET 1.0	P A K EE T
PAKISTAN 1.0	P A K I S T A N
PAKPAK 1.0	P A K P A K
PAKSA 1.0	P A K S A
PALANGKARAYA 1.0	P A L A NG K A R A Y A
PALESTINA 1.0	P A L EE S T I N A
PAMERAN 1.0	P A M EE R A N
PANAS 1.0	P A N A S
PANDAI 1.0	P A N D AI
PANDU 1.0	P A N D U
PANGERAN 1.0	P A NG EE R A N
PANGGUNG 1.0	P A NG G U NG
PANGLIMA 1.0	P A NG L I M A
PANJANG 1.0	P A N J A NG
PAOLO 1.0	P A O L O
PARA 1.0	P A R A
PARADIGMA 1.0	P A R A D I G M A
PARIPURNA 1.0	P A R I P U R N A
PARIS 1.0	P A R I S
PARK 1.0	P A R K
PARKIR 1.0	P A R K I R
PARTAI 1.0	P A R T A I
PASALNYA 1.0	P A S A L NY A
PASAR 1.0	P A S A R
PASTI 1.0	P A S T I
PASUKAN 1.0	P A S U K A N
PATUT 1.0	P A T U T
PAVEL 1.0	P A V E L
PDI 1.0	P EE D EE I
PECINAN 1.0	P E C I N A N
PEDAGANG 1.0	P E D A G A NG
PEDONGKELAN 1.0	P E D O NG K EE L A N
PEIXING 1.0	P EE I K S I NG
PEJABAT 1.0	P E J A B A T
PEKERJAAN 1.0	P E K E R J A A N
PELABUHAN 1.0	P E L A B U H A N
PELAKU 1.0	P E L A K U
PELANGGARAN 1.0	P E L A NG G A R A N
PELANGI 1.0	P E L A NG I
PELATIH 1.0	P E L A T I H
PELATIHANNYA 1.0	P E L A T I H A N NY A
PELAYANAN 1.0	P E L A Y A N A N
PELEDAK 1.0	P E L E D A K
PELEDAKAN 1.0	P E L E D A K A N
PELLEGRINO 1.0	P EE L EE G R I N O
PELUANG 1.0	P E L U A NG
PEMBACAAN 1.0	P E M B A C A A N
PEMBACOKAN 1.0	P E M B A C O K A N
PEMBAKARAN 1.0	P E M B A K A R A N
PEMBANGUNAN 1.0	P E M B A NG U N A N
PEMBENTUKAN 1.0	P E M B E N T U K A N
PEMBERANTASAN 1.0	P E M B E R A N T A S A N
